Facility_Name,Reg_No,Address,Facility_Type,Level,Bed_Capacity,County,status,View
EMPOUGH DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
NGOTUT DISPENSARY,GK-xxx,P.O BOX 50-30601  KACHALIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
DZIVANI DISPENSARY,GK-xxx,P.O BOX 84- KINANGO,DISPENSARY,LEVEL 2,0,KWALE,Active,
KRICH DISPENSARY,GK-xxx,P.O BOX 44-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
PTOKOU DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
KALUKUNA DISPENSARY,GK-xxx,P.O BOX 50-30600 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
KOKWOTENDWO DISPENSARY,GK-xxx,P.O BOX 60-30602 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
ORWA DISPENSARY,GK-xxx,P.O BOX 12-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
AMALER DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
SOSTIN DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
SURUMBEN HEALTH CENTRE,GK-xxx,P.O BOX 31-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
SHALPOGH DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
KAMELEI DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
NARAMAM HEALTH CENTER,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
CHEMOTONG DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
TIRKEN DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
LOKILELIAN DISPENSARY,GK-xxx,P.O BOX 50-30600 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
KARAMERI DISPENSARY,GK-xxx,P.O BOX 50-30600 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
KAINGENY DISPENSARY,GK-xxx,P.O BOX 50-30600 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
MORWEBONG DISPENSARY,GK-xxx,P.O BOX 50-30600 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
PROPOI DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
SOBUKWO DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
KOCHIY DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
CHEPKORNISWO DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
SEBIT HEALTH CENTER,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
SENETWO DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
CHEPUKAT DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
MOKOYON DISPENSARY,GK-xxx,P.O BOX 84-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
KERELWA DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
SUKUT DISPENSARY,GK-xxx,P.O BOX 447-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
NAUYAPONG DISPENSARY,GK-xxx,P.O BOX 50-30601 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
CHEPELION DISPENSARY,GK-xxx,P.O BOX 40-30601 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
KASES DISPENSARY,GK-xxx,P.O BOX 50-30601 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
SASAK DISPENSARY,GK-xxx,P.O BOX 50-30601 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
KALAPATA DISPENSARY,GK-xxx,P.O BOX 50-30601 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
OMBOLION DISPENSARY,GK-xxx,P.O BOX 50-30601 KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
WAKHUNGU DISPENSARY,GK-xxx,P.O BOX 465- FUNYULA,DISPENSARY,LEVEL 2,0,BUSIA,Active,
AKOBWAIT COMMUNITY DISPENSARY,GK-xxx,P.O BOX 150- AMUKURA,DISPENSARY,LEVEL 2,0,BUSIA,Active,
KOTUR DISPENSARY,GK-xxx,P.O BOX 150- AMUKURA,DISPENSARY,LEVEL 2,0,BUSIA,Active,
ESIDENDE DISPENSARY,GK-xxx,P.O BOX 280- NAMBALE,DISPENSARY,LEVEL 2,0,BUSIA,Active,
ALOETE DISPENSARY,GK-xxx,P.O BOX 99- AMAGORO,DISPENSARY,LEVEL 2,0,BUSIA,Active,
OKWATA COMMUNITY DISPENSARY,GK-xxx,P.O BOX 150- AMUKURA,DISPENSARY,LEVEL 2,0,BUSIA,Active,
AKOLONG DISPENSARY,GK-xxx,P.O BOX 99- AMAGORO,DISPENSARY,LEVEL 2,0,BUSIA,Active,
IGULA DISPENSARY,GK-xxx,P.O BOX 84- BUMALA,DISPENSARY,LEVEL 2,0,BUSIA,Active,
BUYINGI DISPENSARY,GK-xxx,P.O BOX 465-50406 FUNYULA,DISPENSARY,LEVEL 2,0,BUSIA,Active,
MUKONJO DISPENSARY,GK-xxx,P.O BOX 465- FUNYULA,DISPENSARY,LEVEL 2,0,BUSIA,Active,
MLANGA HEALTH CENTRE-BUSIA,GK-xxx,P.O BOX 280- NAMBALE,DISPENSARY,LEVEL 2,0,BUSIA,Active,
BUYOFI DISPENSARY,GK-xxx,P.O BOX 14-50210 BUYOFU,DISPENSARY,LEVEL 2,0,BUSIA,Active,
KAPINA DISPENSARY,GK-xxx,P.O BOX 280- NAMBALE,DISPENSARY,LEVEL 2,0,BUSIA,Active,
ODENGERO DISPENSARY,GK-xxx,P.O BOX 150- AMUKURA,DISPENSARY,LEVEL 2,0,BUSIA,Active,
MANSABUBU HEALTH CENTRE,GK-xxx,P.O BOX 192-70100 GARISSA,BASIC HEALTH CENTRE,LEVEL 3B,6,GARISSA,Active,
AMUMA MOBILE CLINIC,GK-xxx,P.O BOX 45-70100  GARISSA,DISPENSARY,LEVEL 2,0,GARISSA,Active,
LABASIGAGALE DISPENSARY,GK-xxx,P.O BOX 80-70103 DADAAB,DISPENSARY,LEVEL 2,0,GARISSA,Active,
MALAYLAY DISPENSARY,GK-xxx,P.O BOX 80-70103 DADAAB TOWN,DISPENSARY,LEVEL 2,0,GARISSA,Active,
HAMEY DISPESARY,GK-xxx,P.O BOX 80-70103 DADAAB,DISPENSARY,LEVEL 2,0,GARISSA,Active,
AMUMA DISPENSARY,GK-xxx,P.O BOX 256-70100 GARISSA,DISPENSARY,LEVEL 2,0,GARISSA,Active,
DAMAJALEY HEALTH CENTRE,GK-xxx,P.O BOX 80-70103 DADAAB,BASIC HEALTH CENTRE,LEVEL 3B,0,GARISSA,Active,
BULTOHAMA DISPENSARY,GK-xxx,P.O BOX 8-70105 MASALANI,DISPENSARY,LEVEL 2,0,GARISSA,Active,
JALISH DISPENSARY,GK-xxx,P.O BOX 8-70105 MASALANI,DISPENSARY,LEVEL 2,0,GARISSA,Active,
HANDARO DISPENSARY,GK-xxx,P.O BOX 8-70105 MASALANI,DISPENSARY,LEVEL 2,0,GARISSA,Active,
BODHAI DISPENSARY,GK-xxx,P.O BOX 8-70105 MASALANI,DISPENSARY,LEVEL 2,0,GARISSA,Active,
ELKAMBERE DISPENSARY,GK-xxx,P.O BOX 8-70105 MASALANI,DISPENSARY,LEVEL 2,0,GARISSA,Active,
MARE DISPENSARY,GK-xxx,P.O BOX 8-70105 MASALANI,DISPENSARY,LEVEL 2,0,GARISSA,Active,
GARABEY DISPENSARY,GK-xxx,P.O BOX 8-70105 MASALANI,DISPENSARY,LEVEL 2,0,GARISSA,Active,
BENANE QOKAR DISPENSARY,GK-xxx,P.O BOX 80-70103  DADAAB,DISPENSARY,LEVEL 2,0,GARISSA,Active,
WELMARER DISPENSARY,GK-xxx,P.O BOX 192-70100 GARISSA,DISPENSARY,LEVEL 2,0,GARISSA,Active,
DEKAHARJA DISPENSARY,GK-xxx,P.O BOX 192-70100 GARISSA,DISPENSARY,LEVEL 2,0,GARISSA,Active,
HARBOLE DISPENSARY,GK-xxx,P.O BOX 192-70100 GARISSA,DISPENSARY,LEVEL 2,0,GARISSA,Active,
HULUGHO SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 8-70105 MASALANI,HOSPITAL LEVEL 4,LEVEL 4,180,GARISSA,Active,
NGETUNYO DISPENSARY,GK-xxx,P.O BOX 20- KIPTERE,DISPENSARY,LEVEL 2,0,KERICHO,Active,
KIPTALDAL DISPENSARY,GK-xxx,P.O BOX 112-20200 KERICHO,DISPENSARY,LEVEL 2,0,KERICHO,Active,
ERETO HEALTH CENTRE,GK-xxx,P.O BOX 11- NAROK,HEALTH CENTRE,LEVEL 3A,0,NAROK,Active,
MENET DISPENSARY-KERICHO,GK-xxx,P.O BOX 86- KORU,DISPENSARY,LEVEL 2,0,KERICHO,Active,
KAPKURES DISPENSARY-KERICHO,GK-xxx,P.O BOX 70- FORT TERNAN,DISPENSARY,LEVEL 2,0,KERICHO,Active,
MAKYOLOK DISPENSARY-KERICHO,GK-xxx,P.O BOX 83- KERICHO,DISPENSARY,LEVEL 2,0,KERICHO,Active,
CHEPKORGONGIT DISPENSARY,GK-xxx,P.O BOX 1122-20200 KERICHO,DISPENSARY,LEVEL 2,0,KERICHO,Active,
SAIRE DISPENSARY,GK-xxx,P.O BOX 121- AMALO,DISPENSARY,LEVEL 2,0,NAROK,Active,
TUIYOBEI DISPENSARY-KERICHO,GK-xxx,P.O BOX 64-20202 KIPKELION,DISPENSARY,LEVEL 2,0,KERICHO,Active,
HARAMBEE HEALTH CENTRE,GK-xxx,P.O BOX 189-40223 KADONGO,BASIC HEALTH CENTRE,LEVEL 3B,2,HOMA BAY,Active,
GOD AGAK HEALTH CENTRE,GK-xxx,P.O BOX 189-40223 KADONGO,BASIC HEALTH CENTRE,LEVEL 3B,4,HOMA BAY,Active,
YOKIA HEALTH CENTRE,GK-xxx,P.O BOX 50-40305 MBITA,BASIC HEALTH CENTRE,LEVEL 3B,4,HOMA BAY,Active,
DUDU HEALTH CENTRE,GK-xxx,P.O BOX 189-40223 KADONGO,BASIC HEALTH CENTRE,LEVEL 3B,3,HOMA BAY,Active,
RINGITI HEALTH CENTRE,GK-xxx,P.O BOX 181-40305 MBITA,BASIC HEALTH CENTRE,LEVEL 3B,0,HOMA BAY,Active,
SENA LEVEL 4 HOSPITAL,GK-xxx,P.O BOX 50-40305 MBITA,HOSPITAL LEVEL 4,LEVEL 4,60,HOMA BAY,Active,
WAKULA HEALTH CENTRE,GK-xxx,P.O BOX 97-40305 MBITA,BASIC HEALTH CENTRE,LEVEL 3B,6,HOMA BAY,Active,
NYAKWERI HEALTH CENTRE,GK-xxx,P.O BOX 50-40305 MBITA,BASIC HEALTH CENTRE,LEVEL 3B,6,HOMA BAY,Active,
KIMUGUL DISPENSARY-KERICHO,GK-xxx,P.O BOX 29- CHESINENDE,DISPENSARY,LEVEL 2,0,KERICHO,Active,
NYAMWANGA OPD HEALTH CENTRE,GK-xxx,P.O BOX 3-40500 NYAMIRA,BASIC HEALTH CENTRE,LEVEL 3B,0,NYAMIRA,Active,
WELHAR DISEPNSARY,GK-xxx,P.O BOX 80-70103 DADAAB,DISPENSARY,LEVEL 2,0,GARISSA,Active,
MADHAHGISI DISPENSARY,GK-xxx,P.O BOX 80-70103 DADAAB,DISPENSARY,LEVEL 2,0,GARISSA,Active,
KAIBOI DISPENSARY,GK-xxx,P.O BOX 127-30100 ELDORET,DISPENSARY,LEVEL 2,0,NANDI,Active,
KAPUA DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
MORUESE DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOKIPETOTARENGAN DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KANAMKEMER SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 11-30500 LODWAR,HEALTH CENTRE,LEVEL 3A,18,TURKANA,Active,
LOKORI SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 18-30500 LODWAR,BASIC HEALTH CENTRE,LEVEL 3B,18,TURKANA,Active,
KAAPOKOR DISPENSARY,GK-xxx,P.O BOX 44-30500 KALOKOL,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KAWALASE DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAPAK DISPENSARY,GK-xxx,P.O BOX 18-30500 LOKITAUNG,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KIBISH GSU DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NGIITAKITO DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
SASAME DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
MEYAN DISPENSARY,GK-xxx,P.O BOX 3-30500 LOKITAUNG,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KAREBUR DISPENSARY,GK-xxx,P.O BOX 3-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
TULABALANY DISPENSARY,GK-xxx,P.O BOX 3-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NANAM HEALTH CENTRE,GK-xxx,P.O BOX 1-30503 LOKICHOGIO,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOCHER ANGIERENGO DISPENSARY,GK-xxx,P.O BOX 1- KAKUMA,DISPENSARY,LEVEL 2,0,TURKANA,Active,
APOSTA HEALTH CENTRE,GK-xxx,P.O BOX 44- LOKICHIOGIO,BASIC HEALTH CENTRE,LEVEL 3B,8,TURKANA,Active,
LOUWAE DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KANGITIT DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOMUNYENAKWAN DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KIDEWA DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
MORUANGBIN DISPENSARY,GK-xxx,P.O BOX 25- KAKUMA,DISPENSARY,LEVEL 2,0,TURKANA,Active,
PORT HEALTH DISPENSARY,GK-xxx,P.O BOX 88- LOKICHOGGIO,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NATIIRA DISPENSARY,GK-xxx,P.O BOX 11- LOKICHOGGIO,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAKOYO DISPENSARY,GK-xxx,P.O BOX 01- KAKUMA,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOKORKOR DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KAEKOROENGOROK DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NATUNTUN DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KABULOKOR DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOROO DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
ULUKUSE DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KALEMUNYANG DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAPEILILIM HEALTH CENTRE,GK-xxx,P.O BOX 09-30500 LODWAR,BASIC HEALTH CENTRE,LEVEL 3B,6,TURKANA,Active,
KOPEETO DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KAESOGOL ETOM DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
MONTI DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KENYA OIL DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAMUKUSE DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KALIMAPUS DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NATIRLULUNG DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAYANAENGIKALANGO DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NATOO DISPENSARY,GK-xxx,P.O BOX 3-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
RIOKOMOR DISPENSARY,GK-xxx,P.O BOX 3-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
CHOK-CHOK DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOPEDRU DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAKUKULAS DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAKATONGWA DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOCHORELIM CONTAINER CLINIC,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAURENPUU DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KODOPA DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOKOYO DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KANGALITA DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOCHORALOMALA DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KALELEKOL DISPENSRY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAKORIMUNYEN DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
URUM DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOBOOLO DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAPETAO DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
MORUONGOR DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
AKATUMIN DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAKECHICHOK DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KANGAMOJOJ DISPENSARY,GK-xxx,P.O BOX 11-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOSAJAIT DISPENSARY,GK-xxx,P.O BOX 3-30504 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KABARAK HEALTH CENTRE,GK-xxx,P.O BOX 17- KABARAK,BASIC HEALTH CENTRE,LEVEL 3B,0,NAKURU,Active,
MUNYU DISPENSARY,GK-xxx,P.O BOX 141-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
NYS KARATE DISPENSARY,GK-xxx,P.O BOX 118-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
MARAIGUSHU DISPENSARY,GK-xxx,P.O BOX 141-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
NGECHA DISPENSARY,GK-xxx,P.O BOX 17643- NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
KINUNGI DISPENSARY,GK-xxx,P.O BOX 141-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
LENGENET DISPENSARY,GK-xxx,P.O BOX 35- RONGAI,DISPENSARY,LEVEL 2,0,NAKURU,Active,
MENENGAI CRATER DISPENSARY,GK-xxx,P.O BOX 66-20100 NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
RORET DISPENSARY,GK-xxx,P.O BOX 13992-20100 NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
RONGAI TURI DISPENSARY,GK-xxx,P.O BOX 17643-20100 NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
G.S.U DISPENSARY MOLO,GK-xxx,P.O BOX 156-20106 MOLO,DISPENSARY,LEVEL 2,0,NAKURU,Active,
OLKARIA COMMUNITY DISPENSARY,GK-xxx,P.O BOX 141-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
MUNUNGA DISPENSARY-NAKURU,GK-xxx,P.O BOX 141-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
KABATI YMCA DISPENSARY,GK-xxx,P.O BOX 141-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
ORUBA DISPENSARY,GK-xxx,P.O BOX 202-40400 SUNA,DISPENSARY,LEVEL 2,0,MIGORI,Active,
NYAMEKOMA DISPENSARY,GK-xxx,P.O BOX 25-40413 KEHANCHA,DISPENSARY,LEVEL 2,0,MIGORI,Active,
NYAKIRINGOTO DISPENSARY,GK-xxx,P.O BOX 9-40400 MUHURU,DISPENSARY,LEVEL 2,0,MIGORI,Active,
MAJANI MINGI DISPENSARY,GK-xxx,P.O BOX 133- MOGOTIO,DISPENSARY,LEVEL 2,0,NAKURU,Active,
SATEWA DISPENSARY,GK-xxx,P.O BOX 91- MOLO,DISPENSARY,LEVEL 2,0,NAKURU,Active,
TAITA DISPENSARY-KURESOI SOUTH,GK-xxx,P.O BOX 9- KERINGET,DISPENSARY,LEVEL 2,0,NAKURU,Active,
KFA SOLAI DISPENSARY,GK-xxx,P.O BOX 44- SOLAI,DISPENSARY,LEVEL 2,0,NAKURU,Active,
NAIVASHA MAXIMUM PRISON HEALTH CENTRE,GK-xxx,P.O BOX 146-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
KAYOLE DISPENSARY,GK-xxx,P.O BOX 141-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
KAPSIMBEIYWO DISPENSARY,GK-xxx,P.O BOX 141- KERINGET,DISPENSARY,LEVEL 2,0,NAKURU,Active,
ONDONG\' DISPENSARY,GK-xxx,P.O BOX 202-40400 SUNA,DISPENSARY,LEVEL 2,0,MIGORI,Active,
KOPANGA GOK DISPENSARY,GK-xxx,P.O BOX 202-40400 SUNA,DISPENSARY,LEVEL 2,0,MIGORI,Active,
MWACHE DISPENSARY,GK-xxx,P.O BOX 202-40400 MIGORI,DISPENSARY,LEVEL 2,0,MIGORI,Active,
OBOKE DISPENSARY,GK-xxx,P.O BOX 202-40400 SUNA,DISPENSARY,LEVEL 2,0,MIGORI,Active,
GODJOPE DISPENSARY,GK-xxx,P.O BOX 202-40400 SUNA,DISPENSARY,LEVEL 2,0,MIGORI,Active,
NYARI DISPENSARY,GK-xxx,P.O BOX 9- GANZE,DISPENSARY,LEVEL 2,0,KILIFI,Active,
KAEMBENI DISPENSARY,GK-xxx,P.O BOX 9- GANZE,DISPENSARY,LEVEL 2,0,KILIFI,Active,
KONA NJEMA DISPENSARY,GK-xxx,P.O BOX 21- WITU,DISPENSARY,LEVEL 2,0,LAMU,Active,
HONGWE DISPENSARY,GK-xxx,P.O BOX 100- HONGWE,DISPENSARY,LEVEL 2,0,LAMU,Active,
ISHAKANI DISPENSARY,GK-xxx,P.O BOX 33- ISHAKANI,DISPENSARY,LEVEL 2,0,LAMU,Active,
KIANGWE DISPENSARY,GK-xxx,P.O BOX 33- KIANGWE,DISPENSARY,LEVEL 2,0,LAMU,Active,
IMPIRON DISPENSARY,GK-xxx,P.O BOX 28-00209 LOITOKITOK,DISPENSARY,LEVEL 2,0,KAJIADO,Active,
ILKELUNYETI DISPENSARY,GK-xxx,P.O BOX 52-90121 EMALI,DISPENSARY,LEVEL 2,0,KAJIADO,Active,
KANGESO DISPENSARY,GK-xxx,P.O BOX 258-40404 MIGORI,DISPENSARY,LEVEL 2,0,MIGORI,Active,
TAIYWET DISPENSARY,GK-xxx,P.O BOX 30- KIPTERE,DISPENSARY,LEVEL 2,0,KERICHO,Active,
NGAINET DISPENSARY,GK-xxx,P.O BOX 35-20200 KERICHO,DISPENSARY,LEVEL 2,0,KERICHO,Active,
MACHORWA DISPENSARY,GK-xxx,P.O BOX 28440-20200 KERICHO,DISPENSARY,LEVEL 2,0,KERICHO,Active,
TEREMUGOS DISPENSARY,GK-xxx,P.O BOX 3- LOGICHOGGIO,DISPENSARY,LEVEL 2,0,TURKANA,Active,
ENELERAI DISPENSARY,GK-xxx,P.O BOX 34- AMAIO,DISPENSARY,LEVEL 2,0,NAROK,Active,
ENTINKI DISPENSARY,GK-xxx,P.O BOX 27- NAROK,DISPENSARY,LEVEL 2,0,NAROK,Active,
ENOOSEYIA DISPENSARY,GK-xxx,P.O BOX 88- NAIRAGIE ENKARE,DISPENSARY,LEVEL 2,0,NAROK,Active,
